UUID        = fd2b067e-fbf8-4d99-b0b4-e36e50ae9907
ScanDate    = 20240915_141227
LogVersion  = EJA_1
LogDataType = PULS
SampleTime  = 2

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     20460793     PULS   2239 
     20460795     PULS   2239 
     20460797     PULS   2210 
     20460799     PULS   2195 
     20460801     PULS   2180 
     20460803     PULS   2166 
     20460805     PULS   2136 
     20460807     PULS   2136 
     20460809     PULS   2107 
     20460811     PULS   2107 
     20460813     PULS   2077 
     20460815     PULS   2077 
     20460817     PULS   2077 
     20460819     PULS   2062 
     20460821     PULS   2062 
     20460825     PULS   2033 
     20460827     PULS   2033 
     20460829     PULS   2018 
     20460831     PULS   2018 
     20460833     PULS   2003 
     20460835     PULS   2018 
     20460837     PULS   2018 
     20460839     PULS   2018 
     20460841     PULS   2033 
     20460843     PULS   2018 
     20460845     PULS   2018 
     20460847     PULS   2018 
     20460849     PULS   2018 
     20460851     PULS   2033 
     20460853     PULS   2033 
     20460855     PULS   2033 
     20460857     PULS   2033 
     20460859     PULS   2018 
     20460861     PULS   2003 
     20460863     PULS   1989 
     20460865     PULS   1989 
     20460867     PULS   1959 
     20460869     PULS   1959 
     20460871     PULS   1959 
     20460873     PULS   1944 
     20460875     PULS   1944 
     20460877     PULS   1944 
     20460879     PULS   1944 
     20460881     PULS   1944 
     20460883     PULS   1944 
     20460885     PULS   1959 
     20460887     PULS   1944 
     20460889     PULS   1944 
     20460891     PULS   1944 
     20460893     PULS   1930 
     20460895     PULS   1944 
     20460897     PULS   1930 
     20460899     PULS   1915 
     20460901     PULS   1915 
     20460903     PULS   1915 
     20460905     PULS   1915 
     20460907     PULS   1915 
     20460909     PULS   1900 
     20460911     PULS   1900 
     20460913     PULS   1915 
     20460915     PULS   1915 
     20460917     PULS   1900 
     20460919     PULS   1900 
     20460921     PULS   1885 
     20460923     PULS   1871 
     20460925     PULS   1841 
     20460927     PULS   1826 
     20460929     PULS   1797 
     20460931     PULS   1797 
     20460933     PULS   1782 
     20460935     PULS   1797 
     20460937     PULS   1812 
     20460939     PULS   1841 
     20460941     PULS   1856 
     20460943     PULS   1885 
     20460945     PULS   1930 
     20460947     PULS   1959 
     20460949     PULS   2003 
     20460953     PULS   2062 
     20460955     PULS   2107 
     20460957     PULS   2136 
     20460959     PULS   2180 
     20460961     PULS   2210 
     20460963     PULS   2225 
     20460965     PULS   2269 
     20460967     PULS   2298 
     20460969     PULS   2313 
     20460971     PULS   2328 
     20460973     PULS   2343 
     20460975     PULS   2343 
     20460977     PULS   2343 
     20460979     PULS   2343 
     20460981     PULS   2343 
     20460983     PULS   2357 
     20460985     PULS   2343 
     20460987     PULS   2343 
     20460989     PULS   2357 
     20460991     PULS   2357 
     20460993     PULS   2357 
     20460995     PULS   2357 
     20460997     PULS   2357 
     20460999     PULS   2357 
     20461001     PULS   2372 
     20461003     PULS   2372 
     20461005     PULS   2387 
     20461007     PULS   2387 
     20461009     PULS   2387 
     20461011     PULS   2402 
     20461013     PULS   2387 
     20461015     PULS   2372 
     20461017     PULS   2357 
     20461019     PULS   2357 
     20461021     PULS   2343 
     20461023     PULS   2328 
     20461025     PULS   2328 
     20461027     PULS   2328 
     20461029     PULS   2313 
     20461031     PULS   2328 
     20461033     PULS   2328 
     20461035     PULS   2343 
     20461037     PULS   2343 
     20461039     PULS   2343 
     20461025     PULS   2048  PULS_TRIGGER
     20461041     PULS   2343 
     20461043     PULS   2343 
     20461045     PULS   2343 
     20461047     PULS   2343 
     20461049     PULS   2343 
     20461051     PULS   2343 
     20461053     PULS   2343 
     20461055     PULS   2343 
     20461057     PULS   2343 
     20461059     PULS   2343 
     20461061     PULS   2313 
     20461063     PULS   2313 
     20461065     PULS   2269 
     20461067     PULS   2225 
     20461069     PULS   2195 
     20461071     PULS   2151 
     20461073     PULS   2121 
     20461075     PULS   2077 
     20461079     PULS   2018 
     20461081     PULS   2003 
     20461083     PULS   2018 
     20461085     PULS   2018 
     20461087     PULS   2033 
     20461089     PULS   2033 
     20461091     PULS   2033 
     20461093     PULS   2033 
     20461095     PULS   2003 
     20461097     PULS   1989 
     20461099     PULS   1974 
     20461101     PULS   1974 
     20461103     PULS   1959 
     20461105     PULS   1959 
     20461107     PULS   1959 
     20461109     PULS   1944 
     20461111     PULS   1944 
     20461113     PULS   1944 
     20461115     PULS   1944 
     20461117     PULS   1944 
     20461119     PULS   1944 
     20461121     PULS   1944 
     20461123     PULS   1959 
     20461125     PULS   1959 
     20461127     PULS   1974 
     20461129     PULS   1974 
     20461131     PULS   1959 
     20461133     PULS   1974 
     20461135     PULS   1959 
     20461137     PULS   1974 
     20461139     PULS   1974 
     20461141     PULS   1974 
     20461143     PULS   1959 
     20461145     PULS   1959 
     20461147     PULS   1959 
     20461149     PULS   1944 
     20461151     PULS   1944 
     20461153     PULS   1944 
     20461155     PULS   1959 
     20461157     PULS   1959 
     20461159     PULS   1974 
     20461161     PULS   1989 
     20461163     PULS   2003 
     20461165     PULS   2018 
     20461167     PULS   2018 
     20461169     PULS   2018 
     20461171     PULS   2033 
     20461173     PULS   2033 
     20461175     PULS   2033 
     20461177     PULS   2033 
     20461179     PULS   2033 
     20461191     PULS   2033 
     20461193     PULS   2033 
     20461195     PULS   2033 
     20461197     PULS   2003 
     20461199     PULS   1989 
     20461201     PULS   1959 
     20461203     PULS   1944 
     20461205     PULS   1944 
     20461207     PULS   1930 
     20461209     PULS   1930 
     20461211     PULS   1944 
     20461213     PULS   1930 
     20461215     PULS   1930 
     20461217     PULS   1944 
     20461219     PULS   1944 
     20461221     PULS   1944 
     20461223     PULS   1959 
     20461225     PULS   1959 
     20461227     PULS   1974 
     20461229     PULS   1989 
     20461231     PULS   1989 
     20461233     PULS   1989 
     20461235     PULS   1989 
     20461237     PULS   1989 
     20461239     PULS   2003 
     20461241     PULS   2003 
     20461243     PULS   2018 
     20461245     PULS   2033 
     20461247     PULS   2062 
     20461249     PULS   2092 
     20461251     PULS   2121 
     20461253     PULS   2136 
     20461255     PULS   2166 
