UUID        = f318bdec-c973-4a03-ae2f-381d05d8a325
ScanDate    = 20240915_142332
LogVersion  = EJA_1
LogDataType = ACQUISITION_INFO
NumSlices   = 64
NumVolumes  = 540
NumEchoes   = 1

VOLUME   SLICE   ACQ_START_TICS  ACQ_FINISH_TICS  ECHO
   193       0         20810617         20810627     0
   193      16         20810617         20810627     0
   193      32         20810617         20810627     0
   193      48         20810617         20810627     0
   193       7         20810642         20810652     0
   193      23         20810642         20810652     0
   193      39         20810642         20810652     0
   193      55         20810642         20810652     0
   193      14         20810667         20810677     0
   193      30         20810667         20810677     0
   193      46         20810667         20810677     0
   193      62         20810667         20810677     0
   193       5         20810692         20810702     0
   193      21         20810692         20810702     0
   193      37         20810692         20810702     0
   193      53         20810692         20810702     0
   193      12         20810717         20810727     0
   193      28         20810717         20810727     0
   193      44         20810717         20810727     0
   193      60         20810717         20810727     0
   193       3         20810742         20810752     0
   193      19         20810742         20810752     0
   193      35         20810742         20810752     0
   193      51         20810742         20810752     0
   193      10         20810767         20810777     0
   193      26         20810767         20810777     0
   193      42         20810767         20810777     0
   193      58         20810767         20810777     0
   193       1         20810792         20810802     0
   193      17         20810792         20810802     0
   193      33         20810792         20810802     0
   193      49         20810792         20810802     0
   193       8         20810817         20810827     0
   193      24         20810817         20810827     0
   193      40         20810817         20810827     0
   193      56         20810817         20810827     0
   193      15         20810842         20810852     0
   193      31         20810842         20810852     0
   193      47         20810842         20810852     0
   193      63         20810842         20810852     0
   193       6         20810867         20810877     0
   193      22         20810867         20810877     0
   193      38         20810867         20810877     0
   193      54         20810867         20810877     0
   193      13         20810892         20810902     0
   193      29         20810892         20810902     0
   193      45         20810892         20810902     0
   193      61         20810892         20810902     0
   193       4         20810917         20810927     0
   193      20         20810917         20810927     0
   193      36         20810917         20810927     0
   193      52         20810917         20810927     0
   193      11         20810942         20810952     0
   193      27         20810942         20810952     0
   193      43         20810942         20810952     0
   193      59         20810942         20810952     0
   193       2         20810967         20810977     0
   193      18         20810967         20810977     0
   193      34         20810967         20810977     0
   193      50         20810967         20810977     0
   193       9         20810992         20811002     0
   193      25         20810992         20811002     0
   193      41         20810992         20811002     0
   193      57         20810992         20811002     0
   194       0         20811017         20811027     0
   194      16         20811017         20811027     0
   194      32         20811017         20811027     0
   194      48         20811017         20811027     0
   194       7         20811042         20811052     0
   194      23         20811042         20811052     0
   194      39         20811042         20811052     0
   194      55         20811042         20811052     0
   194      14         20811067         20811077     0
   194      30         20811067         20811077     0
   194      46         20811067         20811077     0
   194      62         20811067         20811077     0
   194       5         20811092         20811102     0
   194      21         20811092         20811102     0
   194      37         20811092         20811102     0
   194      53         20811092         20811102     0
   194      12         20811117         20811127     0
   194      28         20811117         20811127     0
   194      44         20811117         20811127     0
   194      60         20811117         20811127     0
   194       3         20811142         20811152     0
   194      19         20811142         20811152     0
   194      35         20811142         20811152     0
   194      51         20811142         20811152     0
   194      10         20811167         20811177     0
   194      26         20811167         20811177     0
   194      42         20811167         20811177     0
   194      58         20811167         20811177     0
   194       1         20811192         20811202     0
   194      17         20811192         20811202     0
   194      33         20811192         20811202     0
   194      49         20811192         20811202     0
   194       8         20811217         20811227     0
   194      24         20811217         20811227     0
   194      40         20811217         20811227     0
   194      56         20811217         20811227     0
   194      15         20811242         20811252     0
   194      31         20811242         20811252     0
   194      47         20811242         20811252     0
   194      63         20811242         20811252     0
   194       6         20811267         20811277     0
   194      22         20811267         20811277     0
   194      38         20811267         20811277     0
   194      54         20811267         20811277     0
   194      13         20811292         20811302     0
   194      29         20811292         20811302     0
   194      45         20811292         20811302     0
   194      61         20811292         20811302     0
   194       4         20811317         20811327     0
   194      20         20811317         20811327     0
   194      36         20811317         20811327     0
   194      52         20811317         20811327     0
   194      11         20811342         20811352     0
   194      27         20811342         20811352     0
   194      43         20811342         20811352     0
   194      59         20811342         20811352     0
   194       2         20811367         20811377     0
   194      18         20811367         20811377     0
   194      34         20811367         20811377     0
   194      50         20811367         20811377     0
   194       9         20811392         20811402     0
   194      25         20811392         20811402     0
   194      41         20811392         20811402     0
   194      57         20811392         20811402     0
   195       0         20811417         20811427     0
   195      16         20811417         20811427     0
   195      32         20811417         20811427     0
   195      48         20811417         20811427     0
   195       7         20811442         20811452     0
   195      23         20811442         20811452     0
   195      39         20811442         20811452     0
   195      55         20811442         20811452     0
   195      14         20811467         20811477     0
   195      30         20811467         20811477     0
   195      46         20811467         20811477     0
   195      62         20811467         20811477     0
   195       5         20811492         20811502     0
   195      21         20811492         20811502     0
   195      37         20811492         20811502     0
   195      53         20811492         20811502     0
   195      12         20811517         20811527     0
   195      28         20811517         20811527     0
   195      44         20811517         20811527     0
   195      60         20811517         20811527     0
   195       3         20811542         20811552     0
   195      19         20811542         20811552     0
   195      35         20811542         20811552     0
   195      51         20811542         20811552     0
   195      10         20811567         20811577     0
   195      26         20811567         20811577     0
   195      42         20811567         20811577     0
   195      58         20811567         20811577     0
   195       1         20811592         20811602     0
   195      17         20811592         20811602     0
   195      33         20811592         20811602     0
   195      49         20811592         20811602     0
   195       8         20811617         20811627     0
   195      24         20811617         20811627     0
   195      40         20811617         20811627     0
   195      56         20811617         20811627     0
   195      15         20811642         20811652     0
   195      31         20811642         20811652     0
   195      47         20811642         20811652     0
   195      63         20811642         20811652     0
   195       6         20811667         20811677     0
   195      22         20811667         20811677     0
   195      38         20811667         20811677     0
   195      54         20811667         20811677     0
   195      13         20811692         20811702     0
   195      29         20811692         20811702     0
   195      45         20811692         20811702     0
   195      61         20811692         20811702     0
   195       4         20811717         20811727     0
   195      20         20811717         20811727     0
   195      36         20811717         20811727     0
   195      52         20811717         20811727     0
   195      11         20811742         20811752     0
   195      27         20811742         20811752     0
   195      43         20811742         20811752     0
   195      59         20811742         20811752     0
   195       2         20811767         20811777     0
   195      18         20811767         20811777     0
   195      34         20811767         20811777     0
   195      50         20811767         20811777     0
   195       9         20811792         20811802     0
   195      25         20811792         20811802     0
   195      41         20811792         20811802     0
   195      57         20811792         20811802     0
   196       0         20811817         20811827     0
   196      16         20811817         20811827     0
   196      32         20811817         20811827     0
   196      48         20811817         20811827     0
   196       7         20811842         20811852     0
   196      23         20811842         20811852     0
   196      39         20811842         20811852     0
   196      55         20811842         20811852     0
   196      14         20811867         20811877     0
   196      30         20811867         20811877     0
   196      46         20811867         20811877     0
   196      62         20811867         20811877     0
   196       5         20811892         20811902     0
   196      21         20811892         20811902     0
   196      37         20811892         20811902     0
   196      53         20811892         20811902     0
   196      12         20811917         20811927     0
   196      28         20811917         20811927     0
   196      44         20811917         20811927     0
   196      60         20811917         20811927     0
   196       3         20811942         20811952     0
   196      19         20811942         20811952     0
   196      35         20811942         20811952     0
   196      51         20811942         20811952     0
   196      10         20811967         20811977     0
   196      26         20811967         20811977     0
   196      42         20811967         20811977     0
   196      58         20811967         20811977     0
   196       1         20811992         20812002     0
   196      17         20811992         20812002     0
   196      33         20811992         20812002     0
   196      49         20811992         20812002     0
   196       8         20812017         20812027     0
   196      24         20812017         20812027     0
   196      40         20812017         20812027     0
   196      56         20812017         20812027     0
   196      15         20812042         20812052     0
   196      31         20812042         20812052     0
   196      47         20812042         20812052     0
   196      63         20812042         20812052     0
   196       6         20812067         20812077     0
   196      22         20812067         20812077     0
   196      38         20812067         20812077     0
   196      54         20812067         20812077     0
   196      13         20812092         20812102     0
   196      29         20812092         20812102     0
   196      45         20812092         20812102     0
   196      61         20812092         20812102     0
   196       4         20812117         20812127     0
   196      20         20812117         20812127     0
   196      36         20812117         20812127     0
   196      52         20812117         20812127     0
   196      11         20812142         20812152     0
   196      27         20812142         20812152     0
   196      43         20812142         20812152     0
   196      59         20812142         20812152     0
   196       2         20812167         20812177     0
   196      18         20812167         20812177     0
   196      34         20812167         20812177     0
   196      50         20812167         20812177     0
   196       9         20812192         20812202     0
   196      25         20812192         20812202     0
   196      41         20812192         20812202     0
   196      57         20812192         20812202     0
   197       0         20812217         20812227     0
   197      16         20812217         20812227     0
   197      32         20812217         20812227     0
   197      48         20812217         20812227     0
   197       7         20812242         20812252     0
   197      23         20812242         20812252     0
   197      39         20812242         20812252     0
   197      55         20812242         20812252     0
   197      14         20812267         20812277     0
   197      30         20812267         20812277     0
   197      46         20812267         20812277     0
   197      62         20812267         20812277     0
   197       5         20812292         20812302     0
   197      21         20812292         20812302     0
   197      37         20812292         20812302     0
   197      53         20812292         20812302     0
   197      12         20812317         20812327     0
   197      28         20812317         20812327     0
   197      44         20812317         20812327     0
   197      60         20812317         20812327     0
   197       3         20812342         20812352     0
   197      19         20812342         20812352     0
   197      35         20812342         20812352     0
   197      51         20812342         20812352     0
   197      10         20812367         20812377     0
   197      26         20812367         20812377     0
   197      42         20812367         20812377     0
   197      58         20812367         20812377     0
   197       1         20812392         20812402     0
   197      17         20812392         20812402     0
   197      33         20812392         20812402     0
   197      49         20812392         20812402     0
   197       8         20812417         20812427     0
   197      24         20812417         20812427     0
   197      40         20812417         20812427     0
   197      56         20812417         20812427     0
   197      15         20812442         20812452     0
   197      31         20812442         20812452     0
   197      47         20812442         20812452     0
   197      63         20812442         20812452     0
   197       6         20812467         20812477     0
   197      22         20812467         20812477     0
   197      38         20812467         20812477     0
   197      54         20812467         20812477     0
   197      13         20812492         20812502     0
   197      29         20812492         20812502     0
   197      45         20812492         20812502     0
   197      61         20812492         20812502     0
   197       4         20812517         20812527     0
   197      20         20812517         20812527     0
   197      36         20812517         20812527     0
   197      52         20812517         20812527     0
   197      11         20812542         20812552     0
   197      27         20812542         20812552     0
   197      43         20812542         20812552     0
   197      59         20812542         20812552     0
   197       2         20812567         20812577     0
   197      18         20812567         20812577     0
   197      34         20812567         20812577     0
   197      50         20812567         20812577     0
   197       9         20812592         20812602     0
   197      25         20812592         20812602     0
   197      41         20812592         20812602     0
   197      57         20812592         20812602     0
   198       0         20812617         20812627     0
   198      16         20812617         20812627     0
   198      32         20812617         20812627     0
   198      48         20812617         20812627     0
