UUID        = f318bdec-c973-4a03-ae2f-381d05d8a325
ScanDate    = 20240915_142332
LogVersion  = EJA_1
LogDataType = PULS
SampleTime  = 2

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     20727286     PULS   1930 
     20727288     PULS   1959 
     20727290     PULS   1989 
     20727292     PULS   2018 
     20727296     PULS   2077 
     20727298     PULS   2121 
     20727300     PULS   2151 
     20727302     PULS   2166 
     20727304     PULS   2195 
     20727306     PULS   2239 
     20727308     PULS   2269 
     20727310     PULS   2298 
     20727312     PULS   2328 
     20727314     PULS   2357 
     20727316     PULS   2402 
     20727318     PULS   2446 
     20727320     PULS   2490 
     20727322     PULS   2520 
     20727324     PULS   2549 
     20727326     PULS   2564 
     20727328     PULS   2579 
     20727330     PULS   2579 
     20727332     PULS   2564 
     20727334     PULS   2549 
     20727336     PULS   2520 
     20727338     PULS   2520 
     20727340     PULS   2475 
     20727342     PULS   2461 
     20727344     PULS   2446 
     20727346     PULS   2446 
     20727348     PULS   2431 
     20727350     PULS   2416 
     20727352     PULS   2431 
     20727354     PULS   2416 
     20727356     PULS   2402 
     20727358     PULS   2402 
     20727360     PULS   2387 
     20727362     PULS   2357 
     20727364     PULS   2357 
     20727366     PULS   2343 
     20727368     PULS   2328 
     20727370     PULS   2313 
     20727372     PULS   2298 
     20727374     PULS   2254 
     20727376     PULS   2225 
     20727378     PULS   2210 
     20727380     PULS   2180 
     20727382     PULS   2166 
     20727351     PULS   2048  PULS_TRIGGER
     20727384     PULS   2166 
     20727386     PULS   2166 
     20727388     PULS   2136 
     20727390     PULS   2121 
     20727392     PULS   2107 
     20727394     PULS   2107 
     20727396     PULS   2107 
     20727398     PULS   2107 
     20727400     PULS   2107 
     20727402     PULS   2107 
     20727404     PULS   2107 
     20727406     PULS   2121 
     20727408     PULS   2136 
     20727410     PULS   2136 
     20727412     PULS   2136 
     20727414     PULS   2136 
     20727416     PULS   2136 
     20727418     PULS   2136 
     20727420     PULS   2136 
     20727422     PULS   2151 
     20727424     PULS   2136 
     20727426     PULS   2151 
     20727428     PULS   2151 
     20727430     PULS   2166 
     20727432     PULS   2166 
     20727434     PULS   2166 
     20727436     PULS   2166 
     20727438     PULS   2151 
     20727440     PULS   2136 
     20727442     PULS   2107 
     20727444     PULS   2077 
     20727448     PULS   2033 
     20727450     PULS   2003 
     20727452     PULS   1989 
     20727454     PULS   1959 
     20727456     PULS   1930 
     20727458     PULS   1900 
     20727460     PULS   1885 
     20727462     PULS   1871 
     20727464     PULS   1885 
     20727466     PULS   1885 
     20727468     PULS   1900 
     20727470     PULS   1885 
     20727472     PULS   1885 
     20727474     PULS   1885 
     20727476     PULS   1885 
     20727478     PULS   1885 
     20727480     PULS   1900 
     20727482     PULS   1900 
     20727484     PULS   1900 
     20727486     PULS   1915 
     20727488     PULS   1900 
     20727490     PULS   1900 
     20727492     PULS   1885 
     20727494     PULS   1871 
