UUID        = f318bdec-c973-4a03-ae2f-381d05d8a325
ScanDate    = 20240915_142332
LogVersion  = EJA_1
LogDataType = RESP
SampleTime  = 8

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     20731032     RESP   1550 
     20731040     RESP   1565 
     20731048     RESP   1580 
     20731056     RESP   1596 
     20731064     RESP   1611 
     20731072     RESP   1627 
     20731080     RESP   1643 
     20731088     RESP   1659 
     20731096     RESP   1675 
     20731104     RESP   1691 
     20731112     RESP   1708 
     20731120     RESP   1724 
     20731128     RESP   1741 
     20731136     RESP   1758 
     20731144     RESP   1775 
     20731152     RESP   1794 
     20731160     RESP   1811 
     20731168     RESP   1830 
     20731176     RESP   1849 
     20731184     RESP   1869 
     20731192     RESP   1890 
     20731200     RESP   1911 
     20731208     RESP   1934 
     20731216     RESP   1957 
     20731224     RESP   1982 
     20731232     RESP   2009 
     20731240     RESP   2037 
     20731248     RESP   2066 
     20731256     RESP   2098 
     20731264     RESP   2132 
     20731272     RESP   2167 
     20731280     RESP   2204 
     20731288     RESP   2242 
     20731296     RESP   2280 
     20731304     RESP   2319 
     20731312     RESP   2358 
     20731320     RESP   2396 
     20731328     RESP   2434 
     20731336     RESP   2471 
     20731344     RESP   2507 
     20731352     RESP   2540 
     20731360     RESP   2573 
     20731368     RESP   2604 
     20731376     RESP   2634 
     20731384     RESP   2663 
     20731392     RESP   2690 
     20731400     RESP   2717 
     20731408     RESP   2743 
     20731416     RESP   2766 
     20731424     RESP   2789 
     20731432     RESP   2808 
     20731440     RESP   2827 
     20731448     RESP   2843 
     20731456     RESP   2857 
     20731464     RESP   2869 
     20731472     RESP   2877 
     20731480     RESP   2882 
     20731488     RESP   2883 
     20731496     RESP   2882 
     20731504     RESP   2878 
     20731512     RESP   2871 
     20731520     RESP   2864 
     20731528     RESP   2855 
     20731536     RESP   2846 
     20731544     RESP   2836 
     20731552     RESP   2824 
     20731560     RESP   2812 
     20731568     RESP   2799 
     20731576     RESP   2787 
     20731584     RESP   2775 
     20731592     RESP   2762 
     20731600     RESP   2750 
     20731608     RESP   2736 
     20731616     RESP   2722 
     20731624     RESP   2706 
     20731632     RESP   2687 
     20731640     RESP   2668 
     20731648     RESP   2647 
     20731656     RESP   2626 
     20731664     RESP   2602 
     20731672     RESP   2577 
     20731680     RESP   2551 
     20731688     RESP   2524 
     20731696     RESP   2496 
     20731704     RESP   2468 
     20731712     RESP   2437 
     20731720     RESP   2407 
     20731728     RESP   2375 
     20731736     RESP   2344 
     20731744     RESP   2311 
     20731752     RESP   2279 
     20731760     RESP   2248 
     20731768     RESP   2217 
     20731776     RESP   2186 
     20731784     RESP   2156 
     20731792     RESP   2126 
     20731800     RESP   2097 
     20731808     RESP   2069 
     20731816     RESP   2044 
     20731824     RESP   2019 
     20731832     RESP   1996 
     20731840     RESP   1975 
     20731848     RESP   1955 
     20731856     RESP   1936 
     20731864     RESP   1920 
     20731872     RESP   1903 
     20731880     RESP   1888 
     20731888     RESP   1874 
     20731896     RESP   1861 
     20731904     RESP   1848 
     20731912     RESP   1836 
     20731920     RESP   1824 
     20731928     RESP   1811 
     20731936     RESP   1798 
     20731944     RESP   1785 
     20731952     RESP   1771 
     20731960     RESP   1756 
     20731968     RESP   1741 
     20731976     RESP   1726 
     20731984     RESP   1710 
     20731992     RESP   1695 
     20732000     RESP   1680 
     20732008     RESP   1666 
     20732016     RESP   1652 
     20732024     RESP   1637 
     20732032     RESP   1624 
     20732040     RESP   1610 
     20732048     RESP   1597 
     20732056     RESP   1584 
     20732064     RESP   1571 
     20732072     RESP   1558 
     20732080     RESP   1544 
     20732088     RESP   1530 
     20732096     RESP   1516 
     20732104     RESP   1500 
     20732112     RESP   1485 
     20732120     RESP   1471 
     20732128     RESP   1457 
     20732136     RESP   1444 
     20732144     RESP   1433 
     20732152     RESP   1423 
     20732160     RESP   1416 
     20732168     RESP   1410 
     20732176     RESP   1407 
     20732184     RESP   1406 
     20732192     RESP   1407 
     20732200     RESP   1410 
     20732208     RESP   1414 
     20732216     RESP   1420 
     20732224     RESP   1425 
     20732232     RESP   1430 
     20732240     RESP   1434 
     20732248     RESP   1438 
     20732256     RESP   1442 
     20732264     RESP   1445 
     20732272     RESP   1447 
     20732280     RESP   1449 
     20732288     RESP   1450 
     20732296     RESP   1451 
     20732304     RESP   1452 
     20732312     RESP   1453 
     20732320     RESP   1456 
     20732328     RESP   1459 
     20732336     RESP   1463 
     20732344     RESP   1468 
     20732352     RESP   1474 
     20732360     RESP   1481 
     20732368     RESP   1491 
     20732376     RESP   1500 
     20732384     RESP   1511 
     20732392     RESP   1523 
     20732400     RESP   1537 
     20732408     RESP   1551 
     20732416     RESP   1566 
     20732424     RESP   1583 
     20732432     RESP   1601 
     20732440     RESP   1621 
     20732448     RESP   1642 
     20732456     RESP   1665 
     20732464     RESP   1688 
     20732472     RESP   1713 
     20732480     RESP   1739 
     20732488     RESP   1766 
     20732496     RESP   1794 
     20732504     RESP   1824 
     20732512     RESP   1855 
     20732520     RESP   1886 
     20732528     RESP   1918 
     20732536     RESP   1952 
     20732544     RESP   1986 
     20732552     RESP   2020 
     20732560     RESP   2052 
     20732568     RESP   2086 
     20732576     RESP   2120 
     20732584     RESP   2155 
     20732592     RESP   2189 
     20732600     RESP   2224 
     20732608     RESP   2260 
     20732616     RESP   2295 
     20732624     RESP   2330 
     20732632     RESP   2365 
     20732640     RESP   2400 
     20732648     RESP   2434 
     20732656     RESP   2470 
     20732664     RESP   2505 
     20732672     RESP   2540 
     20732680     RESP   2574 
     20732688     RESP   2607 
     20732696     RESP   2640 
     20732704     RESP   2671 
     20732712     RESP   2699 
     20732720     RESP   2727 
     20732728     RESP   2752 
     20732736     RESP   2777 
     20732744     RESP   2799 
     20732752     RESP   2820 
     20732760     RESP   2839 
     20732768     RESP   2857 
     20732776     RESP   2873 
     20732784     RESP   2887 
     20732792     RESP   2899 
     20732800     RESP   2909 
     20732808     RESP   2916 
     20732816     RESP   2922 
     20732824     RESP   2925 
     20732832     RESP   2926 
     20732840     RESP   2924 
     20732848     RESP   2920 
     20732856     RESP   2912 
     20732864     RESP   2902 
     20732872     RESP   2888 
     20732880     RESP   2873 
     20732888     RESP   2855 
     20732896     RESP   2835 
     20732904     RESP   2813 
     20732912     RESP   2790 
     20732920     RESP   2764 
     20732928     RESP   2738 
     20732936     RESP   2710 
     20732944     RESP   2682 
     20732952     RESP   2652 
     20732960     RESP   2622 
     20732968     RESP   2591 
     20732976     RESP   2559 
     20732984     RESP   2527 
     20732992     RESP   2493 
     20733000     RESP   2460 
     20733008     RESP   2426 
     20733016     RESP   2392 
     20733024     RESP   2358 
     20733032     RESP   2324 
     20733040     RESP   2290 
     20733048     RESP   2258 
     20733056     RESP   2228 
     20733064     RESP   2199 
     20733072     RESP   2173 
     20733080     RESP   2148 
     20733088     RESP   2125 
     20733096     RESP   2103 
     20733104     RESP   2083 
     20733112     RESP   2064 
     20733128     RESP   2034 
     20733136     RESP   2020 
     20733144     RESP   2007 
     20733152     RESP   1994 
     20733160     RESP   1981 
     20733168     RESP   1968 
     20733176     RESP   1955 
     20733184     RESP   1942 
     20733192     RESP   1929 
     20733200     RESP   1916 
     20733208     RESP   1903 
     20733216     RESP   1890 
     20733224     RESP   1876 
     20733232     RESP   1862 
     20733240     RESP   1848 
     20733248     RESP   1834 
     20733256     RESP   1820 
     20733264     RESP   1804 
     20733272     RESP   1789 
     20733280     RESP   1774 
     20733288     RESP   1758 
     20733296     RESP   1742 
     20733304     RESP   1726 
     20733312     RESP   1710 
     20733320     RESP   1694 
     20733328     RESP   1677 
     20733336     RESP   1661 
     20733344     RESP   1645 
     20733352     RESP   1629 
     20733360     RESP   1614 
     20733368     RESP   1600 
     20733376     RESP   1588 
     20733384     RESP   1577 
     20733392     RESP   1568 
     20733400     RESP   1561 
     20733408     RESP   1555 
     20733416     RESP   1551 
     20733424     RESP   1549 
     20733432     RESP   1547 
     20733440     RESP   1546 
     20733448     RESP   1547 
     20733456     RESP   1549 
     20733464     RESP   1550 
     20733472     RESP   1549 
     20733480     RESP   1548 
     20733488     RESP   1547 
     20733496     RESP   1544 
     20733504     RESP   1540 
     20733512     RESP   1535 
     20733520     RESP   1529 
     20733528     RESP   1523 
     20733536     RESP   1517 
     20733544     RESP   1509 
     20733552     RESP   1500 
     20733560     RESP   1492 
     20733568     RESP   1484 
     20733576     RESP   1478 
     20733584     RESP   1472 
     20733592     RESP   1465 
     20733600     RESP   1458 
     20733608     RESP   1451 
     20733616     RESP   1443 
     20733624     RESP   1435 
     20733632     RESP   1426 
     20733640     RESP   1418 
     20733648     RESP   1409 
     20733656     RESP   1402 
     20733664     RESP   1394 
